Station,Latitude,Longitude
Mount Kuring-gai Railway Station,-33.6530641,151.1368864
Ingleburn Railway Station,-33.9983333,150.8511111
Yennora Railway Station,-33.8620079,150.9686096
Epping Railway Station,-33.7728628,151.0820902
Rooty Hill Railway Station,-33.7688649,150.8411802
Kirrawee Railway Station,-34.0344781,151.0726428
Homebush Railway Station,-33.860451,151.0806118
Hurlstone Park Railway Station,-33.91,151.1286111
Marrickville Railway Station,-33.9139432,151.1535512
Waverton Railway Station,-33.8383333,151.1986892
Roseville Railway Station,-33.7826456,151.1827257
Stanmore Railway Station,-33.8936689,151.1656456
Westmead Railway Station,-33.8084959,150.9880176
Heathcote Railway Station,-34.0848266,151.007392
Macdonaldtown Railway Station,-33.8969053,151.1858923
Edmondson Park Railway Station,-33.9628336,150.8563294
St Peters Railway Station,-33.9159472,151.176332
Cabramatta Railway Station,-33.8983188,150.9344502
Strathfield Railway Station,-33.8791285,151.0811758
St Leonards Railway Station,-33.8225666,151.1923402
Seven Hills Railway Station,-33.7760305,150.9427044
Casula Railway Station,-33.9522222,150.8952778
Newtown Railway Station,-33.8961132,151.1801893
Revesby Railway Station,-33.9436876,151.0137191
Mortdale Railway Station,-33.9672997,151.0721865
Wolli Creek Railway Station,-33.9285225,151.1539888
Loftus Railway Station,-34.0434357,151.0504559
Emu Plains Railway Station,-33.7483333,150.6677778
Guildford Railway Station,-33.8561049,150.9939232
Green Square Railway Station,-33.9061988,151.2024361
Chester Hill Railway Station,-33.8816667,151.0011111
Mount Colah Railway Station,-33.6719686,151.1145291
Lewisham Railway Station,-33.8953868,151.1466449
Waitara Railway Station,-33.7094453,151.1055581
Dulwich Hill Railway Station,-33.9045849,151.1386091
Marayong Railway Station,-33.7491667,150.8919444
Windsor Railway Station,-33.6055342,150.821953
Clyde Railway Station,-33.833532,151.0218891
Toongabbie Railway Station,-33.7866894,150.9526498
Bardwell Park Railway Station,-33.9355556,151.1238889
Lidcombe Railway Station,-33.8630649,151.0456771
Auburn Railway Station,-33.8545702,151.0255673
Eastwood Railway Station,-33.790128,151.0822564
Birrong Railway Station,-33.8918622,151.0201957
Berala Railway Station,-33.8753943,151.0343253
Artarmon Railway Station,-33.8094124,151.1857609
Kingsgrove Railway Station,-33.9371844,151.0996523
Minto Railway Station,-34.0316667,150.8511111
Merrylands Railway Station,-33.8350765,150.9860379
St James Railway Station,-33.8708706,151.2119021
Penrith Railway Station,-33.7510792,150.6941684
Caringbah Railway Station,-34.0354477,151.1248018
Killara Railway Station,-33.7660606,151.1601121
Museum Railway Station,-33.8765492,151.2097313
Turramurra Railway Station,-33.7354346,151.1300645
Pennant Hills Railway Station,-33.7379225,151.0725562
Pendle Hill Railway Station,-33.7983305,150.959439
Denistone Railway Station,-33.7989066,151.0887
Bankstown Railway Station,-33.9171897,151.0335881
Clarendon Railway Station,-33.6105511,150.7888909
Asquith Railway Station,-33.6871935,151.1110257
Ashfield Railway Station,-33.8894781,151.1274125
Harris Park Railway Station,-33.8224029,151.0117558
Beecroft Railway Station,-33.7497631,151.0657475
Fairfield Railway Station,-33.8728065,150.9523529
Wahroonga Railway Station,-33.720367,151.1142463
Werrington Railway Station,-33.758666,150.7579617
Engadine Railway Station,-34.0678555,151.014722
Cheltenham Railway Station,-33.7569444,151.0775
Gordon Railway Station,-33.7553899,151.1518099
Erskineville Railway Station,-33.9021718,151.1859881
Rockdale Railway Station,-33.9542619,151.1403655
Central Railway Station,,
Hornsby Railway Station,-33.7034766,151.0983656
Waterfall Railway Station,-34.1347694,150.9931332
North Strathfield Railway Station,-33.8588178,151.088578
Sutherland Railway Station,-34.0312587,151.0567639
Carramar Railway Station,-33.8838889,150.9636111
Thornleigh Railway Station,-33.7236616,151.0809407
Canley Vale Railway Station,-33.8871356,150.9462342
Town Hall Railway Station,-33.8732199,151.2061758
Belmore Railway Station,-33.9194073,151.0878936
Meadowbank Railway Station,-33.8174993,151.0884249
Yagoona Railway Station,-33.9037907,151.0176677
Kogarah Railway Station,-33.9621586,151.132574
Allawah Railway Station,-33.9696293,151.1142847
Jannali Railway Station,-34.015952,151.06463
Tempe Railway Station,-33.9247552,151.1647529
Flemington Railway Station,-33.8648618,151.0699551
Burwood Railway Station,-33.8784753,151.104049
Granville Railway Station,-33.8345097,151.0060111
Chatswood Railway Station,-33.7944797,151.1818571
East Richmond Railway Station,-33.5986877,150.7523549
Leightonfield Railway Station,-33.8815246,150.9852256
Sefton Railway Station,-33.8873088,151.0106256
Glenfield Railway Station,-33.9733455,150.8957217
Bondi Junction Railway Station,-33.8930034,151.2501228
Concord West Railway Station,-33.843168,151.0920563
Doonside Railway Station,-33.7549501,150.8685985
Schofields Railway Station,-33.6971603,150.8711915
International Airport Railway Station,-33.9349983,151.1658899
Panania Railway Station,-33.9532567,150.9968874
Bexley North Railway Station,-33.9425365,151.1152081
Arncliffe Railway Station,-33.938236,151.145508
Narwee Railway Station,-33.9455556,151.0694444
Hurstville Railway Station,-33.960707,151.1003611
Vineyard Railway Station,-33.6483333,150.8677778
West Ryde Railway Station,-33.8094444,151.0858333
Leppington Railway Station,-33.9543857,150.8080638
Macarthur Railway Station,-34.0719861,150.7971899
Lindfield Railway Station,-33.7802907,151.1595848
Leumeah Railway Station,-34.0543113,150.8371354
Circular Quay Railway Station,-33.8613593,151.2107193
Holsworthy Railway Station,-33.9597307,150.9502719
Parramatta Railway Station,-33.8175113,151.0054009
Kings Cross Railway Station,-33.8746006,151.2224231
Pymble Railway Station,-33.7450185,151.1424708
Como Railway Station,-34.0043684,151.0680809
Campsie Railway Station,-33.9143894,151.1032133
Villawood Railway Station,-33.8857243,150.9837511
Beverly Hills Railway Station,-33.9497444,151.0817342
Blacktown Railway Station,-33.7739882,150.9036186
Olympic Park Railway Station,-33.84652725,151.0695284
Cronulla Railway Station,-34.0575259,151.1523851
Lakemba Railway Station,-33.9200031,151.0762479
Wiley Park Railway Station,-33.9230556,151.0677778
Warrawee Railway Station,-33.7279732,151.1232279
St Marys Railway Station,-33.7650204,150.7677778
Petersham Railway Station,-33.8945061,151.1554222
Macquarie Fields Railway Station,-33.9904477,150.8849303
Milsons Point Railway Station,-33.8471255,151.2115234
Quakers Hill Railway Station,-33.7344444,150.8788889
Rhodes Railway Station,-33.8290589,151.0873578
Normanhurst Railway Station,-33.7238649,151.0977351
Helensburgh Railway Station,,
Liverpool Railway Station,-33.9198252,150.92566
Riverstone Railway Station,-33.6797545,150.8616695
Sydenham Railway Station,-33.9147428,151.1661069
Carlton Railway Station,-33.9682355,151.1244933
Wynyard Railway Station,-33.8659903,151.2058096
Canterbury Railway Station,-33.9130231,151.1170149
East Hills Railway Station,-33.960853,150.9879189
Wollstonecraft Railway Station,-33.8332039,151.1959273
Gymea Railway Station,-34.0341447,151.085653
Woolooware Railway Station,-34.0448411,151.1401717
Regents Park Railway Station,-33.8820048,151.02569
Mount Druitt Railway Station,-33.7705556,150.8205556
Richmond Railway Station,-33.5986877,150.7523549
Miranda Railway Station,-34.0335434,151.1037193
Warwick Farm Railway Station,-33.915,150.9344444
Riverwood Railway Station,-33.9472222,151.0530556
Campbelltown Railway Station,-34.0636914,150.8206159
Berowra Railway Station,-33.6264261,151.1473881
Wentworthville Railway Station,-33.8066667,150.9677778
Padstow Railway Station,-33.9487767,151.030116
Redfern Railway Station,-33.8931044,151.2040292
North Sydney Railway Station,-33.8354519,151.2083011
Domestic Airport Railway Station,-33.9337279,151.1819843
Turrella Railway Station,-33.9302706,151.1409234
Banksia Railway Station,-33.9453399,151.140407
Martin Place Railway Station,-33.8678177,151.210759
Oatley Railway Station,-33.9841882,151.0743856
Kingswood Railway Station,-33.7613772,150.7213283
Penshurst Railway Station,-33.9648292,151.0849525
Edgecliff Railway Station,-33.8797692,151.2361116
Mulgrave Railway Station,-33.627219,150.8316603
Croydon Railway Station,-33.8777935,151.1156502
Punchbowl Railway Station,-33.928717,151.0522591
Mascot Railway Station,-33.9289562,151.1951782
Summer Hill Railway Station,-33.8933952,151.1368729
